Time_abs/ps, Signal/nA
  1080.000,     0.288670
  1080.050,     0.283634
  1080.100,     0.237719
  1080.150,     0.159068
  1080.200,     0.059388
  1080.250,    -0.053039
  1080.300,    -0.157566
  1080.350,    -0.229139
  1080.400,    -0.244411
  1080.450,    -0.213251
  1080.500,    -0.149387
  1080.550,    -0.077254
  1080.600,    -0.019840
  1080.650,     0.005187
  1080.700,     0.011061
  1080.750,     0.008865
  1080.800,    -0.001921
  1080.850,     0.000666
  1080.900,     0.025360
  1080.950,     0.066191
  1081.000,     0.110162
  1081.050,     0.160020
  1081.100,     0.202003
  1081.150,     0.236490
  1081.200,     0.245101
  1081.250,     0.231694
  1081.300,     0.207071
  1081.350,     0.175698
  1081.400,     0.143226
  1081.450,     0.113507
  1081.500,     0.087750
  1081.550,     0.069211
  1081.600,     0.058849
  1081.650,     0.055761
  1081.700,     0.064061
  1081.750,     0.063801
  1081.800,     0.067204
  1081.850,     0.070554
  1081.900,     0.070082
  1081.950,     0.062984
  1082.000,     0.048969
  1082.050,     0.019000
  1082.100,    -0.008349
  1082.150,    -0.028498
  1082.200,    -0.046206
  1082.250,    -0.059621
  1082.300,    -0.066890
  1082.350,    -0.064004
  1082.400,    -0.055172
  1082.450,    -0.045207
  1082.500,    -0.035045
  1082.550,    -0.028591
  1082.600,    -0.025278
  1082.650,    -0.014059
  1082.700,     0.007030
  1082.750,     0.039374
  1082.800,     0.085675
  1082.850,     0.152290
  1082.900,     0.249175
  1082.950,     0.367703
  1083.000,     0.509685
  1083.050,     0.684846
  1083.100,     0.872863
  1083.150,     1.053349
  1083.200,     1.204544
  1083.250,     1.283525
  1083.300,     1.237686
  1083.350,     0.998811
  1083.400,     0.541647
  1083.450,    -0.138671
  1083.500,    -0.986994
  1083.550,    -1.859996
  1083.600,    -2.578265
  1083.650,    -2.986647
  1083.700,    -2.981477
  1083.750,    -2.556678
  1083.800,    -1.805287
  1083.850,    -0.904119
  1083.900,    -0.015696
  1083.950,     0.712880
  1084.000,     1.195551
  1084.050,     1.397069
  1084.100,     1.331921
  1084.150,     1.048737
  1084.200,     0.641236
  1084.250,     0.206992
  1084.300,    -0.186813
  1084.350,    -0.496184
  1084.400,    -0.708742
  1084.450,    -0.834136
  1084.500,    -0.895012
  1084.550,    -0.920814
  1084.600,    -0.944583
  1084.650,    -0.978892
  1084.700,    -1.061536
  1084.750,    -1.204475
  1084.800,    -1.404218
  1084.850,    -1.664076
  1084.900,    -1.978820
  1084.950,    -2.344620
  1085.000,    -2.754912
  1085.050,    -3.210304
  1085.100,    -3.724428
  1085.150,    -4.311655
  1085.200,    -4.991553
  1085.250,    -5.782930
  1085.300,    -6.696761
  1085.350,    -7.715035
  1085.400,    -8.795153
  1085.450,    -9.817602
  1085.500,   -10.630642
  1085.550,   -11.036816
  1085.600,   -10.787404
  1085.650,    -9.605412
  1085.700,    -7.191095
  1085.750,    -3.174729
  1085.800,     2.827251
  1085.850,    11.254998
  1085.900,    22.485461
  1085.950,    36.793919
  1086.000,    54.300976
  1086.050,    74.765194
  1086.100,    97.317545
  1086.150,   120.079311
  1086.200,   139.718967
  1086.250,   151.309373
  1086.300,   148.575323
  1086.350,   125.003625
  1086.400,    75.974068
  1086.450,     1.493789
  1086.500,   -91.507896
  1086.550,  -188.706937
  1086.600,  -270.958499
  1086.650,  -319.584267
  1086.700,  -322.914610
  1086.750,  -280.597263
  1086.800,  -203.325676
  1086.850,  -108.322355
  1086.900,   -13.362334
  1086.950,    67.361937
  1087.000,   124.614728
  1087.050,   154.072587
  1087.100,   156.163179
  1087.150,   136.219987
  1087.200,   103.271197
  1087.250,    67.137419
  1087.300,    35.135642
  1087.350,    11.120983
  1087.400,    -3.472460
  1087.450,    -8.564191
  1087.500,    -5.462858
  1087.550,     2.849270
  1087.600,    12.591540
  1087.650,    20.734883
  1087.700,    25.685816
  1087.750,    26.811034
  1087.800,    23.994299
  1087.850,    17.780893
  1087.900,     9.490340
  1087.950,     0.843832
  1088.000,    -6.605204
  1088.050,   -11.759266
  1088.100,   -14.156776
  1088.150,   -14.023650
  1088.201,   -12.158093
  1088.251,    -9.526924
  1088.301,    -7.041839
  1088.351,    -5.357892
  1088.401,    -4.719288
  1088.451,    -4.940703
  1088.501,    -5.639677
  1088.551,    -6.372527
  1088.601,    -6.675794
  1088.651,    -6.306749
  1088.701,    -5.422085
  1088.751,    -4.343893
  1088.801,    -3.232029
  1088.851,    -2.189664
  1088.901,    -1.393917
  1088.951,    -0.889175
  1089.001,    -0.494857
  1089.051,     0.000802
  1089.101,     0.610570
  1089.151,     1.253494
  1089.201,     1.852810
  1089.251,     2.325995
  1089.301,     2.644629
  1089.351,     2.873809
  1089.401,     3.004733
  1089.451,     2.934080
  1089.501,     2.666250
  1089.551,     2.272936
  1089.601,     1.762436
  1089.651,     1.089835
  1089.701,     0.309614
  1089.751,    -0.393400
  1089.801,    -0.807275
  1089.851,    -0.796568
  1089.901,    -0.384764
  1089.951,     0.268603
  1090.001,     0.969428
  1090.051,     1.551004
  1090.101,     1.889992
  1090.151,     1.933743
  1090.201,     1.714081
  1090.251,     1.335854
  1090.301,     0.941507
  1090.351,     0.640420
  1090.401,     0.417309
  1090.451,     0.226746
  1090.501,     0.089315
  1090.551,     0.031178
  1090.601,     0.032926
  1090.651,     0.085485
  1090.701,     0.150322
  1090.751,     0.174949
  1090.801,     0.112861
  1090.851,    -0.097411
  1090.901,    -0.537528
  1090.951,    -1.217995
  1091.001,    -1.983598
  1091.051,    -2.592420
  1091.101,    -2.886982
  1091.151,    -2.806407
  1091.201,    -2.365631
  1091.251,    -1.675709
  1091.301,    -0.862352
  1091.351,    -0.031071
  1091.401,     0.698208
  1091.451,     1.242646
  1091.501,     1.574626
  1091.551,     1.725033
  1091.601,     1.690854
  1091.651,     1.468257
  1091.701,     1.073214
  1091.751,     0.554660
  1091.801,     0.005359
  1091.851,    -0.497637
  1091.901,    -0.852574
  1091.951,    -0.997196
  1092.001,    -0.877507
  1092.051,    -0.485762
  1092.101,     0.092927
  1092.151,     0.738043
  1092.201,     1.320577
  1092.251,     1.759278
  1092.301,     2.020733
  1092.351,     2.084294
  1092.401,     1.960731
  1092.451,     1.672201
  1092.501,     1.282165
  1092.551,     0.872386
  1092.601,     0.528350
  1092.651,     0.280923
  1092.701,     0.154909
  1092.751,     0.148601
  1092.801,     0.199397
  1092.851,     0.198270
  1092.901,     0.053179
  1092.951,    -0.242311
  1093.001,    -0.610191
  1093.051,    -0.934518
  1093.101,    -1.112747
  1093.151,    -1.083968
  1093.201,    -0.845289
  1093.251,    -0.429728
  1093.301,     0.096443
  1093.351,     0.635304
  1093.401,     1.090506
  1093.451,     1.410751
  1093.501,     1.602325
  1093.551,     1.708951
  1093.601,     1.797453
  1093.651,     1.952795
  1093.701,     2.242541
  1093.751,     2.700790
  1093.801,     3.275245
  1093.851,     3.850270
  1093.901,     4.275036
  1093.951,     4.369472
  1094.001,     3.973678
  1094.051,     2.929540
  1094.101,     1.190083
  1094.151,    -1.159271
  1094.201,    -3.827414
  1094.251,    -6.378400
  1094.301,    -8.295031
  1094.351,    -9.125041
  1094.401,    -8.680699
  1094.451,    -7.082468
  1094.501,    -4.711694
  1094.551,    -2.098379
  1094.601,     0.269664
  1094.651,     2.064527
  1094.701,     3.178339
  1094.751,     3.612397
  1094.801,     3.440728
  1094.851,     2.762653
  1094.901,     1.687134
  1094.951,     0.389068
  1095.001,    -0.915887
  1095.051,    -1.974067
  1095.101,    -2.579183
  1095.151,    -2.624437
  1095.201,    -2.148436
  1095.251,    -1.328166
  1095.301,    -0.379501
  1095.351,     0.517427
  1095.401,     1.261950
  1095.451,     1.792220
  1095.501,     2.070211
  1095.551,     2.069971
  1095.601,     1.792238
  1095.651,     1.301079
  1095.701,     0.734208
  1095.751,     0.238067
  1095.801,    -0.084865
  1095.851,    -0.238320
  1095.901,    -0.288982
  1095.951,    -0.283093
  1096.001,    -0.221301
  1096.051,    -0.146531
  1096.101,    -0.089435
  1096.151,    -0.116482
  1096.201,    -0.243611
  1096.251,    -0.419071
  1096.301,    -0.605191
  1096.351,    -0.766469
  1096.401,    -0.888324
  1096.451,    -0.949907
  1096.501,    -0.914966
  1096.551,    -0.747190
  1096.601,    -0.465433
  1096.651,    -0.121276
  1096.701,     0.237739
  1096.751,     0.546821
  1096.801,     0.768395
  1096.851,     0.877414
  1096.901,     0.858581
  1096.951,     0.718882
  1097.001,     0.498252
  1097.051,     0.255741
  1097.101,     0.038227
  1097.151,    -0.116007
  1097.201,    -0.189030
  1097.251,    -0.180850
  1097.301,    -0.139135
  1097.351,    -0.099771
  1097.401,    -0.088085
  1097.451,    -0.112332
  1097.501,    -0.146871
  1097.551,    -0.158885
  1097.601,    -0.140142
  1097.651,    -0.097324
  1097.701,    -0.053349
  1097.751,    -0.030832
  1097.801,    -0.024538
  1097.851,    -0.026743
  1097.901,    -0.019398
  1097.951,     0.006624
