Time_abs/ps, Signal/nA
  1080.000,     0.059563
  1080.050,     0.076075
  1080.100,     0.088870
  1080.150,     0.100409
  1080.200,     0.113912
  1080.250,     0.124827
  1080.300,     0.129653
  1080.350,     0.127268
  1080.400,     0.109415
  1080.450,     0.074602
  1080.500,     0.024119
  1080.550,    -0.027363
  1080.600,    -0.082568
  1080.650,    -0.130222
  1080.700,    -0.158346
  1080.750,    -0.169849
  1080.800,    -0.158544
  1080.850,    -0.135922
  1080.900,    -0.100681
  1080.950,    -0.065219
  1081.000,    -0.043842
  1081.050,    -0.031368
  1081.100,    -0.027107
  1081.150,    -0.029603
  1081.200,    -0.037659
  1081.250,    -0.031452
  1081.300,    -0.013660
  1081.350,     0.004050
  1081.400,     0.027383
  1081.450,     0.050471
  1081.500,     0.065989
  1081.550,     0.063714
  1081.600,     0.050489
  1081.650,     0.030956
  1081.700,     0.009530
  1081.750,    -0.009504
  1081.800,    -0.025410
  1081.850,    -0.036358
  1081.900,    -0.036580
  1081.950,    -0.029432
  1082.000,    -0.028002
  1082.050,    -0.027497
  1082.100,    -0.024659
  1082.150,    -0.023973
  1082.200,    -0.025742
  1082.250,    -0.024436
  1082.300,    -0.033260
  1082.350,    -0.043111
  1082.400,    -0.052984
  1082.450,    -0.065167
  1082.500,    -0.074946
  1082.550,    -0.089254
  1082.600,    -0.095432
  1082.650,    -0.102732
  1082.700,    -0.101146
  1082.750,    -0.097546
  1082.800,    -0.098371
  1082.850,    -0.090973
  1082.900,    -0.081905
  1082.950,    -0.076193
  1083.000,    -0.070765
  1083.050,    -0.060146
  1083.100,    -0.042167
  1083.150,    -0.010227
  1083.200,     0.034118
  1083.250,     0.092150
  1083.300,     0.171318
  1083.350,     0.266069
  1083.400,     0.373751
  1083.450,     0.487659
  1083.500,     0.587615
  1083.550,     0.644960
  1083.600,     0.641322
  1083.650,     0.543075
  1083.700,     0.336728
  1083.750,     0.025984
  1083.800,    -0.365525
  1083.850,    -0.795311
  1083.900,    -1.203222
  1083.950,    -1.508827
  1084.000,    -1.657985
  1084.050,    -1.611985
  1084.100,    -1.371251
  1084.150,    -0.981100
  1084.200,    -0.504093
  1084.250,    -0.022953
  1084.300,     0.378398
  1084.350,     0.640636
  1084.400,     0.735653
  1084.450,     0.668114
  1084.500,     0.481166
  1084.550,     0.226496
  1084.600,    -0.044633
  1084.650,    -0.291596
  1084.700,    -0.483434
  1084.750,    -0.627248
  1084.800,    -0.721808
  1084.850,    -0.778939
  1084.900,    -0.828036
  1084.950,    -0.878164
  1085.000,    -0.926622
  1085.050,    -0.985868
  1085.100,    -1.067501
  1085.150,    -1.169802
  1085.200,    -1.308841
  1085.250,    -1.482508
  1085.300,    -1.702223
  1085.350,    -1.973181
  1085.400,    -2.280317
  1085.450,    -2.643914
  1085.500,    -3.058812
  1085.550,    -3.516448
  1085.600,    -4.018501
  1085.650,    -4.559612
  1085.700,    -5.125600
  1085.750,    -5.670288
  1085.800,    -6.133680
  1085.850,    -6.443764
  1085.900,    -6.502278
  1085.950,    -6.163053
  1086.000,    -5.263462
  1086.050,    -3.590683
  1086.100,    -0.903892
  1086.150,     3.064347
  1086.200,     8.618312
  1086.250,    16.025012
  1086.300,    25.461752
  1086.350,    36.875255
  1086.400,    49.801746
  1086.450,    63.188001
  1086.500,    75.230555
  1086.550,    83.389969
  1086.600,    84.617480
  1086.650,    75.889034
  1086.700,    55.110270
  1086.750,    22.056195
  1086.800,   -20.905924
  1086.850,   -68.679873
  1086.900,  -114.107183
  1086.950,  -149.382165
  1087.000,  -167.798476
  1087.050,  -165.446877
  1087.100,  -142.157247
  1087.150,  -101.644773
  1087.200,   -50.829006
  1087.250,     1.560562
  1087.300,    46.971616
  1087.350,    78.873290
  1087.400,    94.087945
  1087.450,    93.112309
  1087.500,    79.440821
  1087.550,    58.269545
  1087.600,    35.106530
  1087.650,    14.561572
  1087.700,    -0.529086
  1087.750,    -9.478881
  1087.800,   -13.321188
  1087.850,   -13.782835
  1087.900,   -12.235903
  1087.950,    -9.392055
  1088.000,    -5.668966
  1088.050,    -1.602608
  1088.100,     2.130930
  1088.150,     4.952734
  1088.201,     6.549887
  1088.251,     6.842176
  1088.301,     5.909663
  1088.351,     4.032589
  1088.401,     1.738691
  1088.451,    -0.292708
  1088.501,    -1.497827
  1088.551,    -1.732292
  1088.601,    -1.346815
  1088.651,    -0.878765
  1088.701,    -0.652403
  1088.751,    -0.673356
  1088.801,    -0.880331
  1088.851,    -1.338512
  1088.901,    -2.054556
  1088.951,    -2.729790
  1089.001,    -2.869528
  1089.051,    -2.238943
  1089.101,    -1.172793
  1089.151,    -0.298454
  1089.201,     0.029274
  1089.251,    -0.011263
  1089.301,    -0.002588
  1089.351,     0.211156
  1089.401,     0.433583
  1089.451,     0.488479
  1089.501,     0.402136
  1089.551,     0.298763
  1089.601,     0.216692
  1089.651,     0.149397
  1089.701,     0.126483
  1089.751,     0.237270
  1089.801,     0.462985
  1089.851,     0.680862
  1089.901,     0.706992
  1089.951,     0.456721
  1090.001,     0.036343
  1090.051,    -0.301436
  1090.101,    -0.309307
  1090.151,     0.078436
  1090.201,     0.731358
  1090.251,     1.366324
  1090.301,     1.790248
  1090.351,     1.972835
  1090.401,     1.966634
  1090.451,     1.780576
  1090.501,     1.372822
  1090.551,     0.782066
  1090.601,     0.176136
  1090.651,    -0.273696
  1090.701,    -0.505662
  1090.751,    -0.532195
  1090.801,    -0.399298
  1090.851,    -0.153656
  1090.901,     0.089982
  1090.951,     0.186380
  1091.001,     0.038792
  1091.051,    -0.292744
  1091.101,    -0.655190
  1091.151,    -0.895862
  1091.201,    -0.974731
  1091.251,    -0.991556
  1091.301,    -1.092621
  1091.351,    -1.382105
  1091.401,    -1.793331
  1091.451,    -2.123536
  1091.501,    -2.117662
  1091.551,    -1.670686
  1091.601,    -0.917408
  1091.651,    -0.125203
  1091.701,     0.471013
  1091.751,     0.766315
  1091.801,     0.794780
  1091.851,     0.657967
  1091.901,     0.489824
  1091.951,     0.438428
  1092.001,     0.570447
  1092.051,     0.772791
  1092.101,     0.784663
  1092.151,     0.438752
  1092.201,    -0.123540
  1092.251,    -0.524450
  1092.301,    -0.427024
  1092.351,     0.153751
  1092.401,     0.901790
  1092.451,     1.432279
  1092.501,     1.558145
  1092.551,     1.341128
  1092.601,     1.010067
  1092.651,     0.775592
  1092.701,     0.726461
  1092.751,     0.793904
  1092.801,     0.806489
  1092.851,     0.635769
  1092.901,     0.273095
  1092.951,    -0.201857
  1093.001,    -0.662425
  1093.051,    -0.957518
  1093.101,    -0.981322
  1093.151,    -0.737033
  1093.201,    -0.362950
  1093.251,    -0.095645
  1093.301,    -0.063720
  1093.351,    -0.210931
  1093.401,    -0.326314
  1093.451,    -0.236461
  1093.501,     0.071735
  1093.551,     0.458468
  1093.601,     0.768517
  1093.651,     0.913795
  1093.701,     0.890481
  1093.751,     0.782886
  1093.801,     0.698472
  1093.851,     0.727996
  1093.901,     0.935099
  1093.951,     1.305023
  1094.001,     1.726191
  1094.051,     2.088978
  1094.101,     2.307930
  1094.151,     2.401878
  1094.201,     2.429481
  1094.251,     2.426231
  1094.301,     2.305443
  1094.351,     1.901250
  1094.401,     1.050570
  1094.451,    -0.257129
  1094.501,    -1.816551
  1094.551,    -3.339286
  1094.601,    -4.571041
  1094.651,    -5.361386
  1094.701,    -5.611274
  1094.751,    -5.217814
  1094.801,    -4.159609
  1094.851,    -2.579221
